Player name ,Nation,Position,Squad,Compition,Age,Born year,Match played,Starts,MIn,90s,Goal,Assist,Goal + Assist,Goal+Penalty kick,Penalty Kick,Penalty Kick Attempted,Yellow Card,Red Card,Expected Goal,Non-penalty Expected Goal,Expected Assisted Goal,Non-penalty Expected Goal + Expected Assisted Goal,Progressive Carries,Progressive Passes,Progressive Passes Receive
Sepp van den Berg,NED,DF,Schalke 04,Bundesliga,21-098,2001,4,4,322,3.6,0.5,1,0.5,0.5,0,0,5,0,1,,,0,,,
Branco van den Boomen,NED,MF,Toulouse,Ligue 1,27-250,1995,27,27,"2,352",26.1,5,7,12,1,0,0.34,4,0.1,5.7,4,5,2.6,30,6.2,8.8
Leander Dendoncker,BEL,MF,Aston Villa,Premier League,27-347,1995,13,3,365,4.1,1,0.5,0.5,10,0,0,1,0,,,,,,,
Leander Dendoncker,BEL,MF,Wolves,Premier League,27-347,1995,4,2,214,2.4,0.7,0.7,0.7,6,0,0,3,0,1,,,,,,
Emmanuel Dennis,NGA,FW,Nott'ham Forest,Premier League,25-133,1997,14,4,551,6.1,2,1,3,2,0,0,3,0,1.2,1.2,0.3,1.5,14,13,45
Fabio Depaoli,ITA,DF,Hellas Verona,Serie A,25-338,1997,21,16,"1,492",16.6,2,2,4,2,0,0,3,0,1.4,1.4,1,2.4,21,54,53
Fabio Depaoli,ITA,"DF,MF",Sampdoria,Serie A,25-338,1997,3,1,136,1.5,0.2,1,0.2,0.4,0,0,0.6,0,2,10,6,,,,
Kastriot Dermaku,ALB,DF,Lecce,Serie A,31-072,1992,1,34,0.4,,,,,,0,0,,0,0,0,0,0,0,0,0
Halil Dervisoglu,TUR,MF,Brentford,Premier League,23-110,1999,1,8,0.1,,,,,,0,0,,0,,,,0,0,0,0
Rémy Descamps,FRA,GK,Nantes,Ligue 1,26-276,1996,1,1,90,1,,1,,,0,0,,0,0,0,0,0,0,,
Mikkel Desler,DEN,DF,Toulouse,Ligue 1,28-037,1995,20,19,"1,653",18.4,1,2,3,1,0,0,4,0.11,0.7,1,0.7,1.2,39,2,97
Cyriel Dessers,NGA,FW,Cremonese,Serie A,28-110,1994,21,16,"1,334",14.8,5,5,5,1,0,0,3,0,6.2,5.4,1.3,6.7,15,23,94
Sergiño Dest,USA,DF,Milan,Serie A,22-145,2000,8,2,329,3.7,0.3,0.3,0.3,0.6,0,0,14,0,11,12,,,,,
Mattia Destro,ITA,FW,Empoli,Serie A,32-008,1991,10,6,456,5.1,1,1,1,2,0,0,1.2,0,1.2,0.4,1.6,2,4,13,
Gerard Deulofeu,ESP,FW,Udinese,Serie A,29-015,1994,16,15,"1,211",13.5,2,6,8,2,0,0,1,0,5.1,5.1,4.4,9.5,72,82,118
Kiernan Dewsbury-Hall,ENG,MF,Leicester City,Premier League,24-203,1998,25,24,"1,956",21.7,2,2,4,2,0,0,2,0,2.1,2.1,2.7,4.8,57,116,78
Samuel Di Carmine,ITA,"FW,MF",Cremonese,Serie A,34-180,1988,2,28,0.3,0.1,0.1,0.1,1,2,0,0,,0,1,,,0,,,
Federico Di Francesco,ITA,"FW,MF",Lecce,Serie A,28-287,1994,26,17,"1,413",15.7,1,2,3,1,0,0,4,0,2.2,2.2,2.3,4.5,42,37,136
Michele Di Gregorio,ITA,GK,Monza,Serie A,25-244,1997,26,26,"2,340",26,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,29-236,1993,27,27,"2,418",26.9,1,4,5,1,0,0,2,0,1.6,1.6,3.7,5.3,52,189,127
Ángel Di María,ARG,"FW,MF",Juventus,Serie A,35-042,1988,16,11,876,9.7,4,4,8,3,0,0.49,1,0.14,2.1,1,1,1.3,30,3.4,4.7
Boulaye Dia,SEN,FW,Salernitana,Serie A,26-132,1996,24,19,"1,764",19.6,10,4,14,10,0,0,3,0,5.9,5.9,2.3,8.3,30,36,109
Moussa Diaby,FRA,"FW,MF",Leverkusen,Bundesliga,23-264,1999,24,24,"1,949",21.7,8,4,12,8,0,0,1,0.59,8.3,2,7.5,5.3,91,12.9,70
Mouctar Diakhaby,GUI,DF,Valencia,La Liga,26-099,1996,18,17,"1,457",16.2,2,2,2,6,0,0,1,0,1.8,1.8,0.2,2,7,44,4
Bafodé Diakité,FRA,DF,Lille,Ligue 1,22-081,2001,24,22,"1,962",21.8,2,2,2,5,0,0,1.1,0,1.1,0.6,1.7,124,29,59,0.09
Ibrahim Diakité,GUI,DF,Reims,Ligue 1,19-148,2003,3,1,131,1.5,0.2,1,0.2,0.2,0,0,2,0,,6,,0,,,
Abdou Diallo,SEN,"DF,MF",RB Leipzig,Bundesliga,26-328,1996,5,5,436,4.8,1,1,1,2,0,0,0.4,0,0.4,0.1,0.5,22,11,2,
Baila Diallo,FRA,"DF,MF",Clermont Foot,Ligue 1,21-277,2001,6,89,1,1,3,9,,,0,0,,0,,,,0,,,
Habib Diallo,SEN,FW,Strasbourg,Ligue 1,27-283,1995,28,23,"2,076",23.1,14,14,13,1,0,0,2,0,11.8,2,10.2,2.4,25,12.5,28
Ibrahima Diallo,FRA,MF,Southampton,Premier League,24-020,1999,16,11,803,8.9,0.2,3,0.2,0.1,0,0,0.3,0,9,28,6,,,,
Ismael Diallo,CIV,DF,Ajaccio,Ligue 1,26-058,1997,22,20,"1,722",19.1,0.2,6,1,0.2,0,0,0.4,0,31,0.6,61,23,0.01,0.02,0.03
Mamady Diarra,MLI,"MF,DF",Cádiz,La Liga,22-275,2000,2,1,66,0.7,0.1,0.1,0.1,,0,0,,0,3,,,0,,,
Mouhamadou Diarra,SEN,MF,Strasbourg,Ligue 1,19-084,2004,19,9,897,10,0.6,1,0.6,0.7,0,0,1.3,0,36,39,39,0.07,0.06,0.13,0.06
Moussa Diarra,MLI,DF,Toulouse,Ligue 1,22-138,2000,20,10,"1,046",11.6,0.2,1,1,0.2,0,0,0.7,0,20,0.8,45,41,0.01,0.09,0.09
Stéphane Diarra,FRA,"FW,MF",Lorient,Ligue 1,24-109,1998,25,13,987,11,2,2,2,1,0,0,2.2,0,2.2,1.7,4,32,39,85,0.18
Youba Diarra,MLI,MF,Cádiz,La Liga,25-004,1998,4,53,0.6,1,1,0.5,0.5,3,0,0,,0,0,,,0,,,
Rúben Dias,POR,DF,Manchester City,Premier League,25-318,1997,19,15,"1,369",15.2,1.3,2,1.3,0.1,0,0,1.5,0,8,74,1,0.01,0.09,0.1,0.09
Krépin Diatta,SEN,"MF,FW",Monaco,Ligue 1,24-031,1999,24,18,"1,654",18.4,3,2,5,3,0,0,3,0,3.7,3.7,2.7,6.4,66,70,180
Mory Diaw,SEN,GK,Clermont Foot,Ligue 1,29-279,1993,28,28,"2,520",28,0,0.1,0.1,0,0,0,0,0,0,0,0,,0,0,0
Brahim Díaz,ESP,MF,Milan,Serie A,23-237,1999,23,19,"1,308",14.5,4,3,7,4,0,0,2,0,3.3,3.3,3.6,6.9,58,89,76
Luis Díaz,COL,FW,Liverpool,Premier League,26-074,1997,8,7,613,6.8,3,2,5,3,0,0,2,0,1.7,1.7,1,2.7,21,25,72
Justin Diehl,GER,"MF,FW",Köln,Bundesliga,18-121,2004,2,17,0.2,1,,,,,0,0,,0,0,0,0,0,0,,0
Bamba Dieng,SEN,"FW,MF",Marseille,Ligue 1,23-005,2000,10,1,194,2.2,1,1,1,1,0,0,1.5,0,1.5,0.1,1.6,1,5,23,
Bamba Dieng,SEN,FW,Lorient,Ligue 1,23-005,2000,8,6,428,4.8,2,2,1,1,0,0,1,0,2.5,1.7,0.5,2.2,1,3,30
Eric Dier,ENG,DF,Tottenham,Premier League,29-072,1994,26,25,"2,275",25.3,2,1,3,2,0,0,3,0,1.2,1.2,1.2,2.4,6,72,11
Florian Dietz,GER,FW,Köln,Bundesliga,24-237,1998,11,4,395,4.4,1,1,1,1,0,0,2.5,0,2.5,0.3,2.8,5,8,22,
Lucas Digne,FRA,DF,Aston Villa,Premier League,29-251,1993,20,16,"1,291",14.3,1,1,1,3,0,0,0.3,0,0.3,1.6,1.9,51,23,76,0.07
Federico Dimarco,ITA,DF,Inter,Serie A,25-138,1997,25,21,"1,677",18.6,3,2,5,3,0,0,2.4,0,2.4,5,7.4,72,37,159,0.11
Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,29-093,1993,25,25,"2,250",25,0,3,1,0,0,0,0,0,0,0,0,,0,0,0
Junior Dina Ebimbe,FRA,"DF,MF",Eint Frankfurt,Bundesliga,22-127,2000,11,8,780,8.7,2,1,3,2,0,0,1,0,1.9,1.9,1.4,3.3,28,28,26
Tristan Dingomé,CMR,MF,Troyes,Ligue 1,32-039,1991,8,99,1.1,0.2,0.2,0.3,0.4,6,0,0,4,0,1,,,,,,
Eren Dinkçi,GER,"FW,MF",Werder Bremen,Bundesliga,21-105,2001,12,177,2,0.4,0.4,0.2,0.6,6,0,0,18,0,3,,,,,,
Sinaly Diomande,CIV,DF,Lyon,Ligue 1,21-353,2001,16,15,"1,299",14.4,0.5,1,0.5,0.6,0,0,77,0,4,3,0.04,0.04,0.04,0.04,0
Lois Diony,FRA,FW,Angers,Ligue 1,30-098,1992,8,5,437,4.9,1,1,1,1,0,0,1.7,0,1.7,0.3,2.1,9,13,48,
Edan Diop,FRA,DF,Monaco,Ligue 1,18-212,2004,2,60,0.7,10,3,12,,,0,0,,0,,,,0,,,
Issa Diop,FRA,DF,Fulham,Premier League,26-078,1997,18,15,"1,416",15.7,1,1,1,2,0,0,0.3,0,0.3,0.3,54,3,8,0.06,0.06
Sofiane Diop,FRA,"MF,FW",Nice,Ligue 1,22-292,2000,18,12,"1,007",11.2,1,4,5,1,0,0,1,0,1.4,1.4,1.4,2.9,42,44,71
Sofiane Diop,FRA,MF,Monaco,Ligue 1,22-292,2000,1,1,65,0.7,1,1,1,1,0,0,0.1,0,1,1.1,2,10,5,,
Yehvann Diouf,FRA,GK,Reims,Ligue 1,23-132,1999,21,21,"1,890",21,0,2,0,0,0,0,0,0,0,0,0,,0,0,0
Axel Disasi,FRA,DF,Monaco,Ligue 1,25-017,1998,28,27,"2,430",27,2,3,5,2,0,0,1,0.11,2.8,2,2,1.1,50,3.1,159
Malcom Abdulai Ares Djalo,ESP,FW,Athletic Club,La Liga,21-167,2001,1,5,0.1,1,1,3,,,0,0,,0,,,,0,,,
Tiago Djaló,POR,DF,Lille,Ligue 1,22-353,2000,25,24,"2,017",22.4,2,2,2,7,0,0,1.3,0,1.3,0.1,1.4,70,9,4,0.09
Djené,TOG,DF,Getafe,La Liga,31-087,1991,23,23,"1,986",22.1,0.3,1,1,7,0,0,0.3,0,5,0.4,0.7,49,0.01,12,0.05
Moussa Djenepo,MLI,"DF,FW",Southampton,Premier League,24-286,1998,12,6,578,6.4,0.2,1,1,0.2,0,0,0.3,0,23,0.4,17,32,,,
Koffi Djidji,CIV,DF,Torino,Serie A,30-118,1992,24,20,"1,831",20.3,1,1,1,2,0,0,0.9,0,0.9,0.1,1.1,69,6,12,0.05
Alexander Djiku,GHA,DF,Strasbourg,Ligue 1,28-231,1994,25,25,"2,156",24,1,2,3,1,0,0,5,0,1.2,1.2,0.6,1.8,4,125,3
Berat Djimsiti,ALB,DF,Atalanta,Serie A,30-037,1993,14,10,936,10.4,0.4,2,0.4,0.4,0,0,26,0,6,6,0.04,0.04,0.04,0.04,0
Moussa Djitte,SEN,FW,Ajaccio,Ligue 1,23-175,1999,6,1,136,1.5,0.1,0.1,0.2,2,0,0,12,0,,,,,,,
Marko Dmitrovic,SRB,GK,Sevilla,La Liga,31-063,1992,4,2,279,3.1,,1,,,0,0,,0,0,0,0,0,0,,
Alan Do Marcolino,GAB,FW,Rennes,Ligue 1,21-009,2002,2,16,0.2,,,,,,0,0,,0,0,0,0,0,0,0,0
Ben Doak,SCO,FW,Liverpool,Premier League,17-137,2005,2,26,0.3,1,1,4,,,0,0,,0,0,0,0,0,,,
Ritsu Doan,JPN,"FW,MF",Freiburg,Bundesliga,24-285,1998,25,22,"1,770",19.7,4,3,7,4,0,0,2,0,5,5,2.2,7.2,61,48,140
Dodô,BRA,DF,Fiorentina,Serie A,24-131,1998,23,20,"1,661",18.5,0.5,2,2,5,0,0,1,0,40,0.5,1.4,1.9,0.03,103,80
Danilho Doekhi,NED,DF,Union Berlin,Bundesliga,24-271,1998,16,16,"1,406",15.6,4,1,5,4,0,0,1.3,0,1.3,0.2,1.5,52,13,14,0.06
Matt Doherty,IRL,"DF,MF",Tottenham,Premier League,31-071,1992,12,7,667,7.4,1,1,1,0.8,0,0,0.3,0,0.8,1,20,57,16,,
