Playername,Nation,Position,Squad,League,Age,BirthYear,MatchesPlayed,Starts,MinutesPlayed,Per90,Goal,Assist,GoalnAssist,GoalnPenaltyKick,ExpectedGoal,NonPenaltyExpectedGoal,ExpectedAssistedGoal,Carries,Passes,PassesReceived
Ruben Aguilar,FRA,Defender,Monaco,Ligue 1,29,1993,16,10,868,9.6,0,2.0,0.2,0.9,19.0,67.0,51.0,0.02,0.11,0.02
Naouirou Ahamada,FRA,"Midfielder, FORWARD",Crystal Palace,Premier League,20,2002,7,93,1,1.0,0,0.2,0.1,0.2,1.0,11.0,0,0,0,0
Naouirou Ahamada,FRA,Midfielder,Stuttgart,Bundesliga,20,2002,17,17,"1,398",15.5,2,2.0,4.0,2.0,0.8,1.0,0.8,43.0,2.1,56.0
Amar Ahmed,SWE,Forward,Troyes,Ligue 1,19,2004,1,20,0.2,1.0,0,2.0,0,0,0.0,0.0,0.0,0.0,0,0
Jean-Eudes Aholou,CIV,Midfielder,Strasbourg,Ligue 1,29,1994,22,13,"1,064",11.8,3,1.0,4.0,3.0,1.0,1.0,1.0,22.0,1.9,32.0
Joseph Aidoo,GHA,Defender,Celta Vigo,La Liga,27,1995,26,26,"2,323",25.8,2,2.0,2.0,4.0,0.8,0.9,70.0,10.0,0.08,0.08
Ola Aina,NGA,Defender,Torino,Serie A,26,1996,16,9,807,9.0,1,1.0,2.0,1.0,0.7,0.7,2.0,33.0,39.0,41.0
Rayan Aït Nouri,ALG,Defender,Wolves,Premier League,21,2001,20,9,"1,031",11.5,1,1.0,1.0,4.0,0.7,1.0,1.7,30.0,76.0,0.09
Emanuel Aiwum,AUT,Defender,Cremonese,Serie A,22,2000,18,14,"1,299",14.4,0,3.0,0.2,0.4,18.0,40.0,7.0,0.01,0.04,0.01
Kristoffer Ajer,NOR,Defender,Brentford,Premier League,24,1998,9,9,763,8.5,10,0.1,31.0,12.0,0.0,0.0,0,0,0,0
Ludovic Ajorque,FRA,Forward,Strasbourg,Ligue 1,29,1994,13,9,771,8.6,1,1.0,1.0,1.0,3.4,2.6,0.9,2.0,13.0,55.0
Ludovic Ajorque,FRA,Forward,Mainz 05,Bundesliga,29,1994,9,8,647,7.2,2,1.0,3.0,2.0,1.8,1.8,1.3,3.0,15.0,50.0
Manuel Akanji,SUI,Defender,Manchester City,Premier League,27,1995,20,17,"1,631",18.1,1,1.0,1.0,2.0,20.0,0.3,1.4,0.06,10.0,0.06
Nathan Aké,NED,Defender,Manchester City,Premier League,28,1995,21,17,"1,513",16.8,1,2.0,1.0,0.6,21.0,113.0,27.0,0.06,0.1,0.06
Sergio Akieme,ESP,Defender,Almería,La Liga,25,1997,25,25,"2,115",23.5,1,1.0,1.0,5.0,1.5,1.9,3.4,58.0,81.0,0.04
Maghnes Akliouche,FRA,"Midfielder, FORWARD",Monaco,Ligue 1,21,2002,7,4,307,3.4,0,3.0,0.2,0.3,5.0,12.0,26.0,0,0,0
Paul Akouokou,CIV,Midfielder,Betis,La Liga,25,1997,7,2,283,3.1,0,2.0,0.1,0.1,0.0,1.0,0,0,0,0
Jean-Daniel Akpa-Akpro,CIV,Midfielder,Empoli,Serie A,30,1992,16,11,922,10.2,0,8.0,2.0,0.3,14.0,1.0,31.0,0.03,0.06,0.1
Kevin Akpoguma,NGA,Defender,Hoffenheim,Bundesliga,27,1995,21,14,"1,381",15.3,0,8.0,0.6,0.5,15.0,70.0,23.0,0.04,0.08,0.04
David Alaba,AUT,Defender,Real Madrid,La Liga,30,1992,19,17,"1,545",17.2,1,3.0,4.0,1.0,0.7,0.7,1.1,14.0,60.0,58.0
Ángel Alarcón,ESP,"Midfielder, FORWARD",Barcelona,La Liga,18,2004,4,25,0.3,2.0,0,0,0,0,0.0,0,0,0.0,0,0.0
Tomás Alarcón,CHI,Midfielder,Cádiz,La Liga,24,1999,4,2,223,2.5,2,2.0,1.0,0.1,0.0,9.0,6.0,0,0,0
Lucas Alario,ARG,"Forward,Midfielder",Eint Frankfurt,Bundesliga,30,1992,17,2,295,3.3,1,1.0,1.0,1.4,1.4,8.0,15.0,2.0,0,0
Jordi Alba,ESP,Defender,Barcelona,La Liga,34,1989,16,10,999,11.1,1,3.0,4.0,1.0,0.6,1.0,0.6,31.0,5.8,113.0
Luis Alberto,ESP,Midfielder,Lazio,Serie A,30,1992,24,16,"1,473",16.4,5,3.0,8.0,4.0,3.5,2.0,2.0,46.0,3.3,5.1
Raúl Albiol,ESP,Defender,Villarreal,La Liga,37,1985,23,23,"2,014",22.4,0,6.0,0.1,0.1,12.0,2.0,0.01,0.0,0.0,0.0
Marc Albrighton,ENG,"Forward,Midfielder",Leicester City,Premier League,33,1989,6,1,237,2.6,1,1.0,1.0,0.3,0.3,1.3,7.0,4.0,0,0
Thiago Alcántara,ESP,Midfielder,Liverpool,Premier League,31,1991,14,14,"1,154",12.8,0,2.0,0.4,1.1,12.0,107.0,22.0,0.03,0.12,0.03
Carlos Alcaraz,ARG,Midfielder,Southampton,Premier League,20,2002,8,4,327,3.6,2,2.0,2.0,1.0,0.6,0.1,0.7,9.0,14.0,0
Rubén Alcaraz,ESP,Midfielder,Cádiz,La Liga,31,1991,20,14,"1,259",14.0,2,2.0,1.0,1.0,1.7,8.0,1.0,17.0,1.0,1.9
Omar Alderete,PAR,Defender,Getafe,La Liga,26,1996,13,12,"1,080",12.0,0,1.0,1.0,5.0,16.0,0.7,1.0,0.02,6.0,0.08
Iván Alejo,ESP,"Midfielder, FORWARD",Cádiz,La Liga,28,1995,20,8,828,9.2,0,1.0,1.0,9.0,30.0,0.7,1.2,0.08,7.0,57.0
Dogan Alemdar,TUR,Goalkeeper,Rennes,Ligue 1,20,2002,3,2,225,2.5,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Carles Aleñá,ESP,Midfielder,Getafe,La Liga,25,1998,24,20,"1,583",17.6,2,2.0,4.0,2.0,1.7,1.0,1.7,19.0,2.5,72.0
Trent Alexander-Arnold,ENG,Defender,Liverpool,Premier League,24,1998,26,23,"1,933",21.5,1,2.0,3.0,1.0,1.7,1.7,6.2,29.0,160.0,113.0
Alejandro Alfaro,ESP,Midfielder,Elche,La Liga,20,2002,1,15,0.2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Ángel Algobia,ESP,Midfielder,Getafe,La Liga,23,1999,19,11,"1,005",11.2,0,3.0,0.2,0.1,8.0,39.0,10.0,0.02,0.03,0.02
Mohamed Ali Cho,FRA,Forward,Real Sociedad,La Liga,19,2004,11,3,360,4.0,1,2.0,2.0,1.0,21.0,1.5,2.5,0,42.0,0
Faride Alidou,GER,"Defender,Midfielder",Eint Frankfurt,Bundesliga,21,2001,11,135,1.5,0.1,0,0.3,0.4,11.0,5.0,0,0,0,0,0
Alisson,BRA,Goalkeeper,Liverpool,Premier League,30,1992,26,26,"2,340",26.0,0,1.0,1.0,0.3,0.0,1.0,0.04,0.0,0.04,0.01
Jim Allevinah,GAB,"Defender, Forward",Clermont Foot,Ligue 1,28,1995,26,18,"1,658",18.4,1,1.0,1.0,2.0,2.1,1.4,3.4,66.0,112.0,0.05
Dele Alli,ENG,Midfielder,Everton,Premier League,26,1996,2,40,0.4,1.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0,0
Domingos André Ribeiro Almeida,POR,Midfielder,Valencia,La Liga,22,2000,23,18,"1,594",17.7,2,3.0,5.0,2.0,0.7,0.7,2.2,45.0,118.0,47.0
Miguel Almirón,PAR,Forward,Newcastle Utd,Premier League,29,1994,25,24,"1,978",22.0,11,1.0,12.0,11.0,6.1,6.1,1.6,62.0,106.0,206.0
Marcos Alonso,ESP,Defender,Barcelona,La Liga,32,1990,15,6,682,7.6,1,1.0,1.0,1.0,0.8,0.3,1.1,18.0,3.0,0
Mickaël Alphonse,GLP,Defender,Ajaccio,Ligue 1,33,1989,21,11,"1,115",12.4,0,1.0,0.5,0.5,27.0,40.0,30.0,0.04,0.08,0.04
Éder Álvarez Balanta,COL,Midfielder,Schalke 04,Bundesliga,30,1993,5,3,193,2.1,0,2.0,0.1,0.3,1.0,7.0,0,0,0,0
Carlos Álvarez,ESP,Forward,Sevilla,La Liga,19,2003,1,10,0.1,1.0,0,0,0,0,0.0,0,0,0,0,0
Gastón Álvarez,URU,Defender,Getafe,La Liga,23,2000,14,9,902,10.0,2,2.0,2.0,5.0,0.4,0.4,0.2,5.0,27.0,16.0
Julián Álvarez,ARG,"Forward,Midfielder",Manchester City,Premier League,23,2000,20,6,749,8.3,5,5.0,5.0,3.6,3.6,4.8,22.0,22.0,0,0
Agustín Álvarez Martínez,URU,"Forward,Midfielder",Sassuolo,Serie A,21,2001,18,1,312,3.5,1,1.0,2.0,1.0,1.3,1.3,0.3,2.0,6.0,16.0
Yeray Álvarez,ESP,Defender,Athletic Club,La Liga,28,1995,21,21,"1,805",20.1,1,1.0,2.0,1.0,0.4,1.0,0.4,25.0,1.3,121.0
Ibrahim Amadou,FRA,"Defender,Midfielder",Angers,Ligue 1,29,1993,7,4,424,4.7,0,2.0,0.1,0.1,0.0,5.0,5.0,0,0,0
Selim Amallah,MAR,Midfielder,Valladolid,La Liga,26,1996,2,54,0.6,1.0,3,4.0,0,0,0.0,0,0,0,0,0
Daniel Amartey,GHA,Defender,Leicester City,Premier League,28,1994,19,17,"1,520",16.9,1,1.0,1.0,0.5,21.0,65.0,5.0,0.06,0.09,0.06
Amath,SEN,"Midfielder, FORWARD",Mallorca,La Liga,26,1996,18,3,589,6.5,1,1.0,1.0,2.0,1.3,0.8,2.1,13.0,33.0,0
Jordan Amavi,FRA,Defender,Getafe,La Liga,29,1994,4,1,193,2.1,4,2.0,1.0,5.0,0.0,0.0,0.0,0,0,0
Luká Ambros,CZE,Midfielder,Wolfsburg,Bundesliga,18,2004,1,17,0.2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Kelvin Amian,FRA,Defender,Spezia,Serie A,25,1998,20,16,"1,499",16.7,1,1.0,1.0,4.0,24.0,1.4,2.5,0.07,48.0,0.06
Bruno Amione,ARG,Defender,Hellas Verona,Serie A,21,2002,1,1,58,0.6,0,1.0,0,0,0.0,0.0,0.0,0.0,0,0
Bruno Amione,ARG,Defender,Sampdoria,Serie A,21,2002,16,16,"1,330",14.8,0,1.0,1.0,7.0,7.0,0.6,1.1,0.03,8.0,0.07
Nadiem Amiri,GER,"Midfielder, FORWARD",Leverkusen,Bundesliga,26,1996,19,6,721,8.0,3,1.0,4.0,3.0,0.8,0.8,0.8,22.0,39.0,26.0
Ethan Ampadu,WAL,"Defender,Midfielder",Spezia,Serie A,22,2000,21,21,"1,810",20.1,0,1.0,1.0,5.0,18.0,0.9,1.9,0.05,9.0,0.05
Sofyan Amrabat,MAR,Midfielder,Fiorentina,Serie A,26,1996,24,20,"1,657",18.4,0,9.0,0.4,0.6,33.0,147.0,21.0,0.02,0.05,0.02
Ayoub Amraoui,MAR,"Defender, Forward",Nice,Ligue 1,18,2004,4,2,234,2.6,6,12.0,18.0,0,0.0,0,0,0,0,0
Joachim Andersen,DEN,Defender,Crystal Palace,Premier League,26,1996,22,22,"1,927",21.4,1,1.0,1.0,6.0,1.4,0.8,2.2,5.0,6.0,0.05
Elliot Anderson,SCO,"Forward,Midfielder",Newcastle Utd,Premier League,20,2002,12,1,188,2.1,0,0.7,0.6,1.3,15.0,18.0,0,0,0,0
Felipe Anderson,BRA,Forward,Lazio,Serie A,29,1993,27,25,"2,105",23.4,6,2.0,8.0,6.0,4.8,4.8,4.0,60.0,83.0,167.0
Benjamin André,FRA,Midfielder,Lille,Ligue 1,32,1990,25,25,"2,206",24.5,1,1.0,2.0,1.0,1.2,1.2,1.7,30.0,234.0,35.0
Komnen Andric,SRB,Forward,Clermont Foot,Ligue 1,27,1995,28,16,"1,378",15.3,4,3.0,7.0,3.0,5.4,2.0,3.0,8.0,0.9,4.7
Robert Andrich,GER,Midfielder,Leverkusen,Bundesliga,28,1994,23,22,"1,866",20.7,2,2.0,4.0,2.0,1.3,1.3,1.1,10.0,85.0,5.0
Angeliño,ESP,Defender,Hoffenheim,Bundesliga,26,1997,24,21,"1,891",21.0,0,5.0,5.0,2.0,18.0,5.0,5.8,0.04,100.0,0.24
Fabrizio Angileri,ARG,Defender,Getafe,La Liga,29,1994,10,7,543,6.0,0,2.0,1.0,0.1,4.0,15.0,11.0,0,0,0
Jaidon Anthony,ENG,"Midfielder, FORWARD",Bournemouth,Premier League,23,1999,22,9,"1,004",11.2,3,3.0,3.0,2.0,2.0,0.6,2.7,23.0,60.0,0.27
Janis Antiste,FRA,Forward,Sassuolo,Serie A,20,2002,2,52,0.6,1.0,1,1.0,0.2,0.2,0.2,2.0,0,0,0,0
Waldemar Anton,GER,Defender,Stuttgart,Bundesliga,26,1996,25,25,"2,171",24.1,1,1.0,1.0,3.0,1.4,0.8,2.2,44.0,46.0,0.04
Marcos Antônio,BRA,Midfielder,Lazio,Serie A,22,2000,11,3,311,3.5,0,1.0,14.0,3.0,0.0,0.0,0.0,0.0,0,0
Michail Antonio,JAM,Forward,West Ham,Premier League,33,1990,23,12,"1,129",12.5,3,2.0,5.0,3.0,3.4,3.4,1.1,25.0,19.0,76.0
Antony,BRA,"Forward,Midfielder",Manchester Utd,Premier League,23,2000,14,13,"1,071",11.9,3,3.0,3.0,4.0,2.8,0.6,3.5,56.0,90.0,0.25
Valentin Antov,BUL,Defender,Monza,Serie A,22,2000,5,1,198,2.2,0,1.0,10.0,3.0,0.0,0,0,0.0,0,0
Christopher Antwi-Adjei,GHA,"Forward,Midfielder",Bochum,Bundesliga,29,1994,20,13,"1,216",13.5,2,6.0,8.0,2.0,2.0,3.2,5.2,39.0,150.0,0.44
Anuar,MAR,"Midfielder, FORWARD",Valladolid,La Liga,28,1995,3,3,210,2.3,1,1.0,1.0,1.0,0.3,0.4,0.8,6.0,4.0,0
Houssem Aouar,FRA,Midfielder,Lyon,Ligue 1,24,1998,11,6,445,4.9,1,1.0,2.0,1.0,1.1,1.1,0.2,12.0,32.0,29.0
Adil Aouchiche,FRA,"Midfielder, FORWARD",Lorient,Ligue 1,20,2002,8,108,1.2,0.4,0,0.1,0.5,12.0,7.0,0,0,0,0,0
Dennis Appiah,FRA,"Defender,Midfielder",Nantes,Ligue 1,30,1992,15,9,795,8.8,0,1.0,0.4,0.2,15.0,39.0,51.0,0,0,0
Stredair Appuah,FRA,Midfielder,Nantes,Ligue 1,18,2004,1,10,0.1,1.0,1,1.0,0,0,0.0,0.0,0.0,0,0,0
Mauro Arambarri,URU,Midfielder,Getafe,La Liga,27,1995,10,10,826,9.2,0,1.0,1.0,4.0,8.0,0.2,1.5,0.02,30.0,7.0
Charles Aránguiz,CHI,Midfielder,Leverkusen,Bundesliga,33,1989,10,4,493,5.5,1,1.0,1.0,1.0,0.3,0.2,0.5,3.0,7.0,0
Ronald Araújo,URU,Defender,Barcelona,La Liga,24,1999,14,13,"1,121",12.5,1,1.0,1.0,4.0,21.0,1.3,0.4,0.11,45.0,8.0
Cameron Archer,ENG,"Forward,Midfielder",Aston Villa,Premier League,21,2001,6,49,0.5,3.0,3,0,0,0,0.0,0.0,0.0,0,0,0.0
Taïryk Arconte,FRA,Forward,Brest,Ligue 1,19,2003,4,1,128,1.4,0,0.3,0.1,0.4,1.0,8.0,0,0,0,0
Alphonse Areola,FRA,Goalkeeper,West Ham,Premier League,30,1993,5,2,309,3.4,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
Joe Aribo,NGA,"Midfielder, FORWARD",Southampton,Premier League,26,1996,19,11,"1,094",12.2,2,2.0,2.0,2.0,1.4,0.8,2.2,17.0,58.0,0.16
Adam Armstrong,ENG,Forward,Southampton,Premier League,26,1997,24,12,"1,111",12.3,1,1.0,2.0,1.0,1.6,1.6,0.7,37.0,15.0,59.0
Stuart Armstrong,SCO,"Midfielder, FORWARD",Southampton,Premier League,30,1992,23,10,"1,003",11.1,1,1.0,1.0,5.0,1.6,1.7,3.3,42.0,58.0,0.09
Marko Arnautovic,AUT,Forward,Bologna,Serie A,33,1989,16,14,"1,231",13.7,8,8.0,5.0,3.0,5.7,5.0,3.3,11.0,5.0,28.0
Maximilian Arnold,GER,Midfielder,Wolfsburg,Bundesliga,28,1994,24,24,"2,088",23.2,5,2.0,7.0,2.0,4.0,4.0,5.0,14.0,3.3,4.1
Mohamed El Arouch,FRA,Midfielder,Lyon,Ligue 1,18,2004,1,2,1,0,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Sergio Arribas,ESP,Forward,Real Madrid,La Liga,21,2001,1,10,0.1,0.2,0,0.2,2.0,0,0.0,0,0,0,0,0
