Playername,Nation,Position,Squad,League,Age,BirthYear,MatchesPlayed,Starts,MinutesPlayed,Per90,Goal,Assist,GoalnAssist,GoalnPenaltyKick,ExpectedGoal,NonPenaltyExpectedGoal,ExpectedAssistedGoal,Carries,Passes,PassesReceived
Benoît Badiashile,FRA,Defender,Chelsea,Premier League,22,2001,8,7,635,7.1,0,1.0,0.8,0.5,9.0,43.0,1.0,0,0,0
Benoît Badiashile,FRA,Defender,Monaco,Ligue 1,22,2001,11,9,839,9.3,2,2.0,2.0,3.0,0.6,0.4,1.0,3.0,0.21,0.21
Alex Baena,ESP,"Midfielder, FORWARD",Villarreal,La Liga,21,2001,23,12,"1,294",14.4,4,1.0,5.0,4.0,2.1,1.0,2.1,35.0,6.0,73.0
Jaime Báez,URU,Defender,Cremonese,Serie A,27,1995,2,1,96,1.1,0,0.1,0.1,0.3,5.0,8.0,0,0,0,0
Leon Bailey,JAM,"Forward,Midfielder",Aston Villa,Premier League,25,1997,26,21,"1,609",17.9,4,3.0,7.0,4.0,4.8,4.8,3.3,69.0,26.0,151.0
Eric Bailly,CIV,Defender,Marseille,Ligue 1,28,1994,11,4,433,4.8,0,1.0,0.2,0.2,3.0,3.0,0,0,0,0
Dénys Bain,FRA,Defender,Auxerre,Ligue 1,29,1993,2,1,126,1.4,0,3.0,0,0,0.0,0.0,0.0,0.0,0,0
Brandon Baiye,BEL,Midfielder,Clermont Foot,Ligue 1,22,2000,7,51,0.6,0.1,0,0.1,2.0,0,0.0,0,0,0.0,0,0
Stefan Bajcetic,ESP,Midfielder,Liverpool,Premier League,18,2004,11,6,526,5.8,1,1.0,1.0,2.0,0.8,0.4,1.2,10.0,1.0,0
Nedim Bajrami,ALB,"Midfielder, FORWARD",Empoli,Serie A,24,1999,19,8,940,10.4,1,1.0,2.0,1.0,1.2,1.2,1.2,22.0,29.0,47.0
Nedim Bajrami,ALB,Forward,Sassuolo,Serie A,24,1999,7,2,317,3.5,1,1.0,1.0,1.3,1.3,1.9,16.0,7.0,0,0
Cédric Bakambu,COD,Midfielder,Marseille,Ligue 1,31,1991,3,59,0.7,1.0,1,1.0,1.0,1.0,0.0,0,0,0,0,0
Tiemoué Bakayoko,FRA,Midfielder,Milan,Serie A,28,1994,2,33,0.4,2.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0,0
Mitchel Bakker,NED,"Defender,Midfielder",Leverkusen,Bundesliga,22,2000,20,13,"1,155",12.8,3,2.0,5.0,3.0,1.4,1.0,1.4,20.0,3.1,45.0
Ridle Baku,GER,"Defender, Forward",Wolfsburg,Bundesliga,24,1998,25,22,"2,016",22.4,5,1.0,6.0,5.0,2.5,2.5,2.9,41.0,105.0,113.0
Tommaso Baldanzi,ITA,Midfielder,Empoli,Serie A,20,2003,18,16,"1,158",12.9,4,4.0,4.0,1.0,1.4,0.9,2.3,39.0,59.0,0.31
Alejandro Balde,ESP,Defender,Barcelona,La Liga,19,2003,23,20,"1,660",18.4,0,5.0,5.0,3.0,60.0,3.5,4.0,0.02,144.0,0.27
Thierno Balde,FRA,Defender,Troyes,Ligue 1,20,2002,23,19,"1,627",18.1,0,1.0,0.3,0.8,46.0,49.0,85.0,0.02,0.06,0.02
