Player name ,Nation,Position,Squad,League,Age,Birth Year,Matches Played,Starts,Minutes Played,Per90,Goal,Assist,Goal n Assist,Goal n Penalty Kick,Expected Goal,NonPenalty Expected Goal,Expected Assisted Goal,Carries,Passes,Passes Received
Philip Billing,DEN,"MF,FW",Bournemouth,Premier League,26-290,1996,26,24,"1,951",21.7,6.0,1.0,7.0,6.0,2.8,2.8,2.1,27.0,54.0,65.0
Jean-Claude Billong,CMR,MF,Clermont Foot,Ligue 1,29-090,1993,1,23,0.3,4.0, , , , ,0.0,0.0,0.0,0.0, ,0.0
Cristiano Biraghi,ITA,DF,Fiorentina,Serie A,30-208,1992,25,23,"1,982",22.0,1.0,2.0,3.0,1.0,1.5,0.7,4.4,49.0,124.0,90.0
Samuele Birindelli,ITA,DF,Monza,Serie A,23-252,1999,22,13,"1,087",12.1,1.1,1.0,1.0,6.0,45.0,1.8,2.9,0.09,96.0,0.08
Veljko Birmancevic,SRB,"FW,MF",Toulouse,Ligue 1,25-023,1998,19,1,325,3.6,0.4,0.4,0.2,0.6,14.0,38.0, , , , 
Tom Bischof,GER,"MF,FW",Hoffenheim,Bundesliga,17-273,2005,7,3,263,2.9,0.5,0.5,0.7,1.3,7.0,8.0, , , , 
Yves Bissouma,MLI,MF,Tottenham,Premier League,26-210,1996,20,8,814,9.0,0.2,5.0,0.2,0.5,10.0,45.0,7.0,0.02,0.08,0.02
Kristijan Bistrovic,CRO,MF,Lecce,Serie A,24-353,1998,11,5,461,5.1,0.3,0.3,0.4,0.7,4.0,8.0, , , , 
Leonardo Bittencourt,GER,"MF,DF",Werder Bremen,Bundesliga,29-099,1993,16,14,"1,017",11.3,2.0,1.0,3.0,2.0,0.7,0.7,1.2,27.0,34.0,61.0
Marco Bizot,NED,GK,Brest,Ligue 1,32-018,1991,27,27,"2,430",27.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blanco,ESP,MF,Cádiz,La Liga,22-248,2000,3,2,158,1.8,1.0,2.0,2.0, ,0.0, , , , , 
Lautaro Blanco,ARG,"DF,MF",Elche,La Liga,24-037,1999,8,2,289,3.2,6.0,1.0,1.0,1.0,0.0,0.5,11.0, , , 
Rubén Blanco,ESP,GK,Marseille,Ligue 1,27-246,1995,4,4,360,4.0, , , , ,0.0,0.0,0.0,0.0, ,0.0
Ludovic Blas,FRA,"FW,MF",Nantes,Ligue 1,25-087,1997,27,22,"2,050",22.8,6.0,2.0,8.0,4.0,7.3,4.0,2.0,83.0,3.6,8.0
Janis Blaswich,GER,GK,RB Leipzig,Bundesliga,31-330,1991,18,18,"1,620",18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miha Blaic,SVN,DF,Angers,Ligue 1,29-324,1993,21,20,"1,772",19.7,2.0,2.0,2.0,4.0,1.5,0.1,1.5,0.1,0.1,0.1
Joaquín Blázquez,ARG,GK,Brest,Ligue 1,22-059,2001,1,1,90,1.0, , , , ,0.0,0.0,0.0,0.0, ,0.0
Alexis Blin,FRA,"MF,DF",Lecce,Serie A,26-193,1996,25,17,"1,608",17.9,1.0,1.0,1.0,4.0,1.1,0.4,1.5,12.0,22.0,0.06
Daley Blind,NED,"DF,MF",Bayern Munich,Bundesliga,33-019,1990,4,1,134,1.5,0.1,0.1,0.1,0.1, , , , , , 
Myron Boadu,NED,FW,Monaco,Ligue 1,22-073,2001,8,1,132,1.5,2.0,2.0,2.0,0.8,0.8,0.9,2.0,2.0, , 
Jérôme Boateng,GER,DF,Lyon,Ligue 1,34-206,1988,6,4,315,3.5, ,0.2,0.2,6.0,0.0, , ,0.0, , 
Kevin-Prince Boateng,GHA,MF,Hertha BSC,Bundesliga,36-022,1987,11,1,171,1.9, ,1.0,0.1,0.1,0.0,12.0, ,0.0, , 
Antonin Bobichon,FRA,MF,Angers,Ligue 1,27-195,1995,3,18,0.2,0.1,0.1,0.2,0.3,4.0,2.0, , , , , 
Jean-Paul Boëtius,NED,MF,Hertha BSC,Bundesliga,29-006,1994,18,8,851,9.5,0.5,2.0,0.5,0.7,3.0,47.0,23.0,0.06,0.13,0.06
Jeremie Boga,CIV,"MF,FW",Atalanta,Serie A,26-084,1997,17,5,585,6.5,1.0,5.0,6.0,1.0,0.9,2.2,3.1,47.0,60.0, 
Emil Bohinen,NOR,MF,Salernitana,Serie A,24-016,1999,13,6,492,5.5,0.1,0.1,0.4,0.5,6.0,7.0, , , , 
Quentin Boisgard,FRA,MF,Lorient,Ligue 1,26-011,1997,5,1,184,2.0,1.0,1.0,1.0,1.0,0.4,0.1,0.5,7.0,15.0, 
Willy Boly,CIV,DF,Nott'ham Forest,Premier League,32-053,1991,8,8,592,6.6,1.0,1.0,1.0,2.0,0.0,0.2,10.0, , , 
Giacomo Bonaventura,ITA,MF,Fiorentina,Serie A,33-218,1989,23,18,"1,556",17.3,3.0,3.0,3.0,4.0,3.4,1.8,5.2,49.0,74.0,0.17
Federico Bonazzoli,ITA,"FW,MF",Salernitana,Serie A,25-311,1997,22,12,"1,075",11.9,2.0,1.0,3.0,2.0,2.3,2.3,1.1,11.0,42.0,67.0
Warren Bondo,FRA,MF,Monza,Serie A,19-194,2003,4,60,0.7,1.0,0.1,0.1,0.1,5.0,3.0, , , , , 
Theo Bongonda,COD,"MF,FW",Cádiz,La Liga,27-128,1995,19,15,"1,159",12.9,2.0,2.0,4.0,2.0,2.8,0.7,3.4,32.0,66.0,0.16
Kevin Bonifazi,ITA,DF,Bologna,Serie A,26-313,1996,7,4,416,4.6,0.2,1.0,0.2,0.2,3.0, , , , , 
Leonardo Bonucci,ITA,DF,Juventus,Serie A,35-331,1987,13,7,692,7.7,1.0,1.0,1.0,1.0,0.9,0.1,0.2,2.0,24.0,1.0
Neto Borges,BRA,DF,Clermont Foot,Ligue 1,26-196,1996,25,25,"2,161",24.0,2.0,2.0,2.0,4.0,2.8,2.8,2.1,44.0,73.0,125.0
Yvandro Borges Sanches,LUX,"FW,MF",M'Gladbach,Bundesliga,18-308,2004,3,28,0.3,0.1,0.1,0.1,5.0, ,1.0, , , , , 
Sebastiaan Bornauw,BEL,DF,Wolfsburg,Bundesliga,24-006,1999,19,16,"1,343",14.9,0.2,6.0,0.2,0.1,3.0,46.0,5.0,0.02,0.02,0.02
